run,nc,ratio,model,training_form_parameters,deploy_parameters,conv_gflops,mean_ms,median_ms,p95_ms,fps
ablation_nc80_run1.json,80,0.25,baseline,2383960,1813504,5.5642752,132.405105,131.376,138.94567,7.552578882815735
ablation_nc80_run1.json,80,0.25,a,2233624,1737680,5.3496448,134.30923,131.25754999999998,155.464485,7.445504676037529
ablation_nc80_run1.json,80,0.25,b,2070104,1584224,4.6754432,128.51296250000001,126.5001,131.72811999999993,7.781316223256466
ablation_nc80_run1.json,80,0.25,c,1956440,1371264,4.6697088,129.14354250000002,126.51644999999999,144.00904999999995,7.743321738289778
ablation_nc80_run1.json,80,0.25,ab,1919768,1508400,4.4608128,128.71874250000002,125.75355,145.53041999999996,7.768876393428097
ablation_nc80_run1.json,80,0.25,ac,1806104,1295440,4.4550784,126.80445999999999,125.2053,132.54003499999996,7.886157947441282
ablation_nc80_run1.json,80,0.25,bc,1642584,1141984,3.7808768,121.87325000000001,120.94065,125.36729999999999,8.205246024045472
ablation_nc80_run1.json,80,0.25,abc,1492248,1066160,3.5662464,120.8384125,120.51315,124.14526,8.275514212006053
confirm_nc80_run2.json,80,0.25,baseline,2383960,1813504,5.5642752,133.9113733333333,131.98125,150.4872,7.46762560272451
confirm_nc80_run2.json,80,0.25,bc,1642584,1141984,3.7808768,122.44177499999999,121.23205,132.97051,8.167147201190117
confirm_nc80_run2.json,80,0.25,abc,1492248,1066160,3.5662464,123.00825,120.8013,133.93461999999994,8.129536027055096
confirm_nc4.json,4,0.25,baseline,2317040,1780188,5.396992,125.33890500000001,122.9645,141.01027499999998,7.97836872757106
confirm_nc4.json,4,0.25,bc,1575664,1108668,3.6135936,115.06921000000001,112.95394999999999,130.809155,8.69042205121596
sensitivity_r0375.json,80,0.375,baseline,2383960,1813504,5.5642752,131.43924750000002,131.37685,133.600655,7.608077640584482
sensitivity_r0375.json,80,0.375,bc,1894488,1264976,4.160576,126.81014249999998,123.76165,147.25281999999993,7.885804560151804
sensitivity_r05.json,80,0.5,baseline,2383960,1813504,5.5642752,136.27134,130.1356,178.350415,7.338300188432871
sensitivity_r05.json,80,0.5,bc,2146392,1387968,4.5402752,129.09266250000002,124.2854,138.09781999999993,7.746373656209933
